year,all-total,all-male,all-female,white-total,white-male,white-female,black-total,black-male,black-female,asian-total,asian-male,asian-female,hispanic-total,hispanic-male,hispanic-female
2019,36.0,35.4,36.6,36.3,35.7,36.8,26.1,24.1,27.7,58.1,60.4,56.1,18.8,16.9,20.8
2018,35.0,34.6,35.3,35.2,34.9,35.5,25.2,23.2,26.9,56.5,59.3,54.0,18.3,16.6,20.1
2017,34.2,33.7,34.6,34.5,34.0,35.0,23.9,22.1,25.4,54.8,56.6,53.2,17.2,15.8,18.6
2016,33.4,33.2,33.7,33.7,33.4,34.0,23.3,21.7,24.6,55.9,58.8,53.4,16.4,15.4,17.4
2015,32.5,32.3,32.7,32.8,32.6,32.9,22.5,20.6,24.0,53.9,56.8,51.5,15.5,14.3,16.6
2014,32.0,31.9,32.0,32.3,32.3,32.3,22.2,20.4,23.7,52.3,54.7,50.3,15.2,14.2,16.1
2013,31.7,32.0,31.4,32.0,32.4,31.6,21.8,19.8,23.3,53.2,56.1,50.8,15.1,13.9,16.2
2012,30.9,31.4,30.6,31.3,31.9,30.8,21.2,19.2,22.9,51.0,53.7,48.8,14.5,13.3,15.8
2011,30.4,30.8,30.1,31.0,31.5,30.5,19.9,18.0,21.4,50.3,53.4,47.7,14.1,13.1,15.2
2010,29.9,30.3,29.6,30.3,30.8,29.9,19.8,17.7,21.4,52.4,55.6,49.5,13.9,12.9,14.9
2009,29.5,30.1,29.1,29.9,30.6,29.3,19.3,17.8,20.6,52.3,55.7,49.3,13.2,12.5,14.0
2008,29.4,30.1,28.8,29.8,30.5,29.1,19.6,18.7,20.4,52.6,55.8,49.8,13.3,12.6,14.1
2007,28.7,29.5,28.0,29.1,29.9,28.3,18.5,18.0,19.0,52.1,55.2,49.3,12.7,11.8,13.7
2006,28.0,29.2,26.9,28.4,29.7,27.1,18.5,17.2,19.4,49.7,52.5,47.1,12.4,11.9,12.9
2005,27.7,28.9,26.5,28.1,29.4,26.8,17.6,16.0,18.8,50.2,54.0,46.8,12.0,11.8,12.1
2004,27.7,29.4,26.1,28.2,30.0,26.4,17.6,16.6,18.5,49.4,53.7,45.6,12.1,11.8,12.3
2003,27.2,28.9,25.7,27.6,29.4,25.9,17.3,16.7,17.8,49.8,53.9,46.1,11.4,11.2,11.6
2002,26.7,28.5,25.1,27.2,29.1,25.4,17.0,16.4,17.5,(NA),(NA),(NA),11.1,11.0,11.2
2001,26.2,28.2,24.3,26.6,28.7,24.6,15.7,15.3,16.1,(NA),(NA),(NA),11.1,10.8,11.4
2000,25.6,27.8,23.6,26.1,28.5,23.9,16.5,16.3,16.7,(NA),(NA),(NA),10.6,10.7,10.6
1999,25.2,27.5,23.1,25.9,28.5,23.5,15.4,14.2,16.4,(NA),(NA),(NA),10.9,10.7,11.0
1998,24.4,26.5,22.4,25.0,27.3,22.8,14.7,13.9,15.4,(NA),(NA),(NA),11.0,11.1,10.9
1997,23.9,26.2,21.7,24.6,27.0,22.3,13.3,12.5,13.9,(NA),(NA),(NA),10.3,10.6,10.1
1996,23.6,26.0,21.4,24.3,26.9,21.8,13.6,12.4,14.6,(NA),(NA),(NA),9.3,10.3,8.3
1995,23.0,26.0,20.2,24.0,27.2,21.0,13.2,13.6,12.9,(NA),(NA),(NA),9.3,10.1,8.4
1994,22.2,25.1,19.6,22.9,26.1,20.0,12.9,12.8,13.0,(NA),(NA),(NA),9.1,9.6,8.6
1993,21.9,24.8,19.2,22.6,25.7,19.7,12.2,11.9,12.4,(NA),(NA),(NA),9.0,9.5,8.5
1992,21.4,24.3,18.6,22.1,25.2,19.1,11.9,11.9,12.0,(NA),(NA),(NA),9.3,10.2,8.5
1991,21.4,24.3,18.8,22.2,25.4,19.3,11.5,11.4,11.6,(NA),(NA),(NA),9.7,10.0,9.4
1990,21.3,24.4,18.4,22.0,25.3,19.0,11.3,11.9,10.8,(NA),(NA),(NA),9.2,9.8,8.7
1989,21.1,24.5,18.1,21.8,25.4,18.5,11.8,11.7,11.9,(NA),(NA),(NA),9.9,11.0,8.8
1988,20.3,24.0,17.0,20.9,25.0,17.3,11.2,11.1,11.4,(NA),(NA),(NA),10.1,12.3,8.1
1987,19.9,23.6,16.5,20.5,24.5,16.9,10.7,11.0,10.4,(NA),(NA),(NA),8.6,9.7,7.5
1986,19.4,23.2,16.1,20.1,24.1,16.4,10.9,11.2,10.7,(NA),(NA),(NA),8.4,9.5,7.4
1985,19.4,23.1,16.0,20.0,24.0,16.3,11.1,11.2,11.0,(NA),(NA),(NA),8.5,9.7,7.3
1984,19.1,22.9,15.7,19.8,23.9,16.0,10.4,10.4,10.4,(NA),(NA),(NA),8.2,9.5,7.0
1983,18.8,23.0,15.1,19.5,24.0,15.4,9.5,10.0,9.2,(NA),(NA),(NA),7.9,9.2,6.8
1982,17.7,21.9,14.0,18.5,23.0,14.4,8.8,9.1,8.5,(NA),(NA),(NA),7.8,9.6,6.2
1981,17.1,21.1,13.4,17.8,22.2,13.8,8.2,8.2,8.2,(NA),(NA),(NA),7.7,9.7,5.9
1980,17.0,20.9,13.6,17.8,22.1,14.0,7.9,7.7,8.1,(NA),(NA),(NA),7.9,9.7,6.2
1979,16.4,20.4,12.9,17.2,21.4,13.3,7.9,8.3,7.5,(NA),(NA),(NA),6.7,8.2,5.3
1978,15.7,19.7,12.2,16.4,20.7,12.6,7.2,7.3,7.1,(NA),(NA),(NA),7.0,8.6,5.7
1977,15.4,19.2,12.0,16.1,20.2,12.4,7.2,7.0,7.4,(NA),(NA),(NA),6.2,8.1,4.4
1976,14.7,18.6,11.3,15.4,19.6,11.6,6.6,6.3,6.8,(NA),(NA),(NA),6.1,8.6,4.0
1975,13.9,17.6,10.6,14.5,18.4,11.0,6.4,6.7,6.2,(NA),(NA),(NA),6.3,8.3,4.6
1974,13.3,16.9,10.1,14.0,17.7,10.6,5.5,5.7,5.3,(NA),(NA),(NA),5.5,7.1,4.0
1973,12.6,16.0,9.6,13.1,16.8,9.9,6.0,5.9,6.0,(NA),(NA),(NA),(NA),(NA),(NA)
1972,12.0,15.4,9.0,12.6,16.2,9.4,5.1,5.5,4.8,(NA),(NA),(NA),(NA),(NA),(NA)
1971,11.4,14.6,8.5,12.0,15.5,8.9,4.5,4.7,4.3,(NA),(NA),(NA),(NA),(NA),(NA)
1970,11.0,14.1,8.2,11.6,15.0,8.6,4.5,4.6,4.4,(NA),(NA),(NA),(NA),(NA),(NA)
1969,10.7,13.6,8.1,11.2,14.3,8.5,4.6,4.8,4.5,(NA),(NA),(NA),(NA),(NA),(NA)
1968,10.5,13.3,8.0,11.0,14.1,8.3,4.3,3.7,4.8,(NA),(NA),(NA),(NA),(NA),(NA)
1967,10.1,12.8,7.6,10.6,13.6,7.9,4.0,3.4,4.4,(NA),(NA),(NA),(NA),(NA),(NA)
