year,all-,all-high,all-college,all-bachelor,all-master,white-,white-high,white-college,white-bachelor,white-master,black-,black-high,black-college,black-bachelor,black-master,asian-,asian-high,asian-college,asian-bachelor,asian-master,hispanic-,hispanic-high,hispanic-college,hispanic-bachelor,hispanic-master
2018,63179,57627,71027,111415,131172,70642,64634,77217,116417,133260,41361,40699,50630,86112,101232,87194,57595,76980,120004,151829,51450,50434,62974,87065,112463
2017,62626,57074,70474,110862,130619,69851,63843,76426,115626,132469,40324,39662,49593,85075,100195,83376,53777,73162,116186,148011,51389,50373,62913,87004,112402
2016,61779,56227,69627,110015,129772,68059,62051,74634,113834,130677,41323,40661,50592,86074,101194,85210,55611,74996,118020,149845,49887,48871,61411,85502,110900
2015,59901,54349,67749,108137,127894,66721,60713,73296,112496,129339,39108,38446,48377,83859,98979,81788,52189,71574,114598,146423,47852,46836,59376,83467,108865
2014,56969,51417,64817,105205,124962,63976,57968,70551,109751,126594,37583,36921,46852,82334,97454,78883,49284,68669,111693,143518,45114,44098,56638,80729,106127
2013,57856,52304,65704,106092,125849,65138,59130,71713,110913,127756,38140,37478,47409,82891,98011,78153,48554,67939,110963,142788,42850,41834,54374,78465,103863
2012,55900,50348,63748,104136,123893,62465,56457,69040,108240,125083,36510,35848,45779,81261,96381,75205,45606,64991,108015,139840,42738,41722,54262,78353,103751
2011,56006,50454,63854,104242,123999,62001,55993,68576,107776,124619,36061,35399,45330,80812,95932,72874,43275,62660,105684,137509,43217,42201,54741,78832,104230
2010,56873,51321,64721,105109,124866,62857,56849,69432,108632,125475,37077,36415,46346,81828,96948,74167,44568,63953,106977,138802,43433,42417,54957,79048,104446
2009,58400,52848,66248,106636,126393,63895,57887,70470,109670,126513,38228,37566,47497,82979,98099,76810,47211,66596,109620,141445,44628,43612,56152,80243,105641
2008,58811,53259,66659,107047,126804,64923,58915,71498,110698,127541,40006,39344,49275,84757,99877,76739,47140,66525,109549,141374,44326,43310,55850,79941,105339
2007,60985,55433,68833,109221,128978,66676,60668,73251,112451,129294,41176,40514,50445,85927,101047,80252,50653,70038,113062,144887,46958,45942,58482,82573,107971
2006,60178,54626,68026,108414,128171,65449,59441,72024,111224,128067,39913,39251,49182,84664,99784,80200,50601,69986,113010,144835,47169,46153,58693,82784,108182
2005,59712,54160,67560,107948,127705,65458,59450,72033,111233,128076,39774,39112,49043,84525,99645,78747,49148,68533,111557,143382,46360,45344,57884,81975,107373
2004,59080,53528,66928,107316,127073,65178,59170,71753,110953,127796,40105,39443,49374,84856,99976,76631,47032,66417,109441,141266,45670,44654,57194,81285,106683
2003,59286,53734,67134,107522,127279,65388,59380,71963,111163,128006,40573,39911,49842,85324,100444,76231,46632,66017,109041,140866,45160,44144,56684,80775,106173
2002,59360,53808,67208,107596,127353,65646,59638,72221,111421,128264,40628,39966,49897,85379,100499,73660,44061,63446,106470,138295,46334,45318,57858,81949,107347
2001,60038,54486,67886,108274,128031,65835,59827,72410,111610,128453,41899,41237,51168,86650,101770,76256,46657,66042,109066,140891,47721,46705,59245,83336,108734
2000,61399,55847,69247,109635,129392,66712,60704,73287,112487,129330,43380,42718,52649,88131,103251,81530,51931,71316,114340,146165,48500,47484,60024,84115,109513
1999,61526,55974,69374,109762,129519,66759,60751,73334,112534,129377,42196,41534,51465,86947,102067,77044,47445,66830,109854,141679,46484,45468,58008,82099,107497
1998,60040,54488,67888,108276,128033,65528,59520,72103,111303,128146,39143,38481,48412,83894,99014,72010,42411,61796,104820,136645,43743,42727,55267,79358,104756
1997,57911,52359,65759,106147,125904,63501,57493,70076,109276,126119,39202,38540,48471,83953,99073,70813,41214,60599,103623,135448,41672,40656,53196,77287,102685
1996,56744,51192,64592,104980,124737,62012,56004,68587,107787,124630,37543,36881,46812,82294,97414,69189,39590,58975,101999,133824,39819,38803,51343,75434,100832
1995,55931,50379,63779,104167,123924,61023,55015,67598,106798,123641,36755,36093,46024,81506,96626,66662,37063,56448,99472,131297,37522,36506,49046,73137,98535
1994,54233,48681,62081,102469,122226,59044,53036,65619,104819,121662,35344,34682,44613,80095,95215,68047,38448,57833,100857,132682,39369,38353,50893,74984,100382
1993,53610,48058,61458,101846,121603,58641,52633,65216,104416,121259,33519,32857,42788,78270,93390,65804,36205,55590,98614,130439,39273,38257,50797,74888,100286
1992,53897,48345,61745,102133,121890,58566,52558,65141,104341,121184,32995,32333,42264,77746,92866,66502,36903,56288,99312,131137,39754,38738,51278,75369,100767
1991,54318,48766,62166,102554,122311,58279,52271,64854,104054,120897,33909,33247,43178,78660,93780,65718,36119,55504,98528,130353,40912,39896,52436,76527,101925
1990,55952,50400,63800,104188,123945,59693,53685,66268,105468,122311,34898,34236,44167,79649,94769,71848,42249,61634,104658,136483,41726,40710,53250,77341,102739
1989,56678,51126,64526,104914,124671,60901,54893,67476,106676,123519,35456,34794,44725,80207,95327,70787,41188,60573,103597,135422,42982,41966,54506,78597,103995
1988,55716,50164,63564,103952,123709,60523,54515,67098,106298,123141,33577,32915,42846,78328,93448,66034,36435,55820,98844,130669,41664,40648,53188,77279,102677
1987,55260,49708,63108,103496,123253,59823,53815,66398,105598,122441,33231,32569,42500,77982,93102,68332,38733,58118,101142,132967,41000,39984,52524,76615,102013
1986,54608,49056,62456,102844,122601,58716,52708,65291,104491,121334,33076,32414,42345,77827,92947,,,,,,40252,39236,51776,75867,101265
1985,52709,47157,60557,100945,120702,56838,50830,63413,102613,119456,33072,32410,42341,77823,92943,,,,,,38977,37961,50501,74592,99990
1984,51742,46190,59590,99978,119735,55719,49711,62294,101494,118337,31096,30434,40365,75847,90967,,,,,,39224,38208,50748,74839,100237
1983,50216,44664,58064,98452,118209,54015,48007,60590,99790,116633,29885,29223,39154,74636,89756,,,,,,38245,37229,49769,73860,99258
